127.0.0.1 - - [13/Apr/2021:10:35:13 +0900] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [13/Apr/2021:10:35:15 +0900] "GET /javascript_jquery/ex01.html HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [13/Apr/2021:10:37:20 +0900] "GET /javascript_jquery/ex01.html HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [13/Apr/2021:10:37:20 +0900] "GET /favicon.ico HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [13/Apr/2021:11:44:11 +0900] "GET /javascript_jquery/ex01.html HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [13/Apr/2021:11:45:42 +0900] "GET /javascript_jquery/ex01.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [13/Apr/2021:11:48:58 +0900] "GET /javascript_jquery/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2021:13:05:09 +0900] "GET /javascript_jquery/ex01.html HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [13/Apr/2021:13:05:32 +0900] "GET /javascript_jquery/ex01.html HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [13/Apr/2021:13:05:44 +0900] "GET /javascript_jquery/ex01.html HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [13/Apr/2021:13:30:10 +0900] "GET /javascript_jquery/ex01.html HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [13/Apr/2021:13:30:31 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [13/Apr/2021:13:30:40 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [13/Apr/2021:14:01:06 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [13/Apr/2021:14:05:02 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Apr/2021:14:05:07 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Apr/2021:14:07:32 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [13/Apr/2021:14:08:28 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 531
0:0:0:0:0:0:0:1 - - [13/Apr/2021:14:12:05 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [13/Apr/2021:14:15:05 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [13/Apr/2021:14:16:25 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2021:14:16:34 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 619
0:0:0:0:0:0:0:1 - - [13/Apr/2021:14:18:42 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [13/Apr/2021:14:19:42 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [13/Apr/2021:14:20:32 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [13/Apr/2021:14:28:04 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [13/Apr/2021:14:37:42 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [13/Apr/2021:14:37:42 +0900] "GET /javascript_jquery/js/myscript.js HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [13/Apr/2021:15:04:42 +0900] "GET /javascript_jquery/ex02.html HTTP/1.1" 200 1247
0:0:0:0:0:0:0:1 - - [13/Apr/2021:15:04:43 +0900] "GET /javascript_jquery/js/myscript.js HTTP/1.1" 404 1108
